agency_cd	site_no	datetime	18601_00060_00003	18601_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09066325	2000-02-25	19.0	A
USGS	09066325	2000-02-26	19.0	A
USGS	09066325	2000-02-27	20.0	A
USGS	09066325	2000-02-28	21.0	A
USGS	09066325	2000-02-29	20.0	A:e
USGS	09066325	2000-03-01	19.0	A
USGS	09066325	2000-03-02	20.0	A
USGS	09066325	2000-03-03	20.0	A
USGS	09066325	2000-03-04	21.0	A
USGS	09066325	2000-03-05	22.0	A
USGS	09066325	2000-03-06	22.0	A
USGS	09066325	2000-03-07	23.0	A
USGS	09066325	2000-03-08	21.0	A
USGS	09066325	2000-03-09	21.0	A
USGS	09066325	2000-03-10	22.0	A
USGS	09066325	2000-03-11	22.0	A
USGS	09066325	2000-03-12	23.0	A
USGS	09066325	2000-03-13	22.0	A
USGS	09066325	2000-03-14	22.0	A
USGS	09066325	2000-03-15	22.0	A
USGS	09066325	2000-03-16	20.0	A
USGS	09066325	2000-03-17	21.0	A
USGS	09066325	2000-03-18	20.0	A
USGS	09066325	2000-03-19	19.0	A
USGS	09066325	2000-03-20	20.0	A
USGS	09066325	2000-03-21	20.0	A
USGS	09066325	2000-03-22	21.0	A
USGS	09066325	2000-03-23	22.0	A
USGS	09066325	2000-03-24	23.0	A
USGS	09066325	2000-03-25	24.0	A
USGS	09066325	2000-03-26	24.0	A
USGS	09066325	2000-03-27	25.0	A
USGS	09066325	2000-03-28	29.0	A
USGS	09066325	2000-03-29	29.0	A
USGS	09066325	2000-03-30	29.0	A
USGS	09066325	2000-03-31	27.0	A
USGS	09066325	2000-04-01	25.0	A
USGS	09066325	2000-04-02	25.0	A
USGS	09066325	2000-04-03	24.0	A
USGS	09066325	2000-04-04	26.0	A
USGS	09066325	2000-04-05	36.0	A
USGS	09066325	2000-04-06	44.0	A
USGS	09066325	2000-04-07	40.0	A
USGS	09066325	2000-04-08	41.0	A
USGS	09066325	2000-04-09	52.0	A
USGS	09066325	2000-04-10	62.0	A
USGS	09066325	2000-04-11	57.0	A
USGS	09066325	2000-04-12	59.0	A
USGS	09066325	2000-04-13	74.0	A
USGS	09066325	2000-04-14	79.0	A
USGS	09066325	2000-04-15	80.0	A
USGS	09066325	2000-04-16	69.0	A
